"ccq_builds_in_sonar_period","sonar_start_date","sonar_end_date","sonar_duration","project","median_bugs","median_vulnerabilities","median_code_smells","median_sqale_index","median_sqale_ratio","median_duplicated_lines_density","median_coverage","median_ncloc","last_ncloc","max_ncloc","median_bugs_density","median_vulnerabilities_density","median_code_smells_density","commits_in_sonnar_period","commits_per_day","commits_per_day_density","commits_total_activity_days","median_ci_time_running","max_ci_time_running","median_ci_duration","max_ci_duration","median_ci_time_to_fix","max_ci_time_to_fix","ci_builds_failures","ci_builds_in_sonar_period","ci_builds_total_activity_days","ccq_ratio_updated","ci_activity"
152,"2019-02-14T18:12:03+0100","2019-07-30T14:32:26+0200",165,"Mastercard/oauth1-signer-swift",0,0,0,0,0,0,87,176,176,176,0,0,0,0,0,0,0,161,1129,155,1129,43173,86204,2,218,161,0.697247706422018,0.975757575757576
184,"2019-02-11T14:24:27+0100","2019-07-30T12:59:39+0200",168,"Mastercard/oauth1-signer-java",0,0,2,20,0.1,0,83.6,499,499,499,0,0,0.00400801603206413,0,0,0,0,195,765,596,1189,86459,172868,7,200,160,0.92,0.952380952380952
120,"2018-09-29T03:35:31+0200","2019-07-16T18:17:39+0200",290,"hmcts/ccd-user-profile-api",0,0,9,32,0.1,0,92.4,1180,1180,1180,0,0,0.0076271186440678,0,0,0,0,205,533,202,533,44750,251912,36,154,37,0.779220779220779,0.127586206896552
128,"2019-03-09T11:43:38+0100","2019-07-30T11:37:49+0200",142,"dsaltares/musicplayer-server",0,0,0,0,0,0,45.4,322,322,322,0,0,0,0,0,0,0,112,285,112,285,86390.5,86492,5,168,137,0.761904761904762,0.964788732394366
928,"2017-08-23T14:13:30+0200","2019-07-30T08:17:56+0200",705,"WojciechZankowski/iextrading4j",0,0,62,1196,0.5,3.3,92.9,10958,20476,20476,0,0,0.013371788148925,0,0,0,0,438.5,25919,627,52855,53964,1206194,203,1029,624,0.901846452866861,0.885106382978723
160,"2019-06-01T07:33:08+0200","2019-07-06T07:11:14+0200",34,"jinahya/jsonrpc-bind",0,0,24.5,220,0.95,0,82.4,665.5,905,905,0,0,0.0358923587088771,0,0,0,0,123,681,230.5,693,64.5,104,2,190,30,0.842105263157895,0.882352941176471
136,"2019-04-28T16:49:06+0200","2019-07-02T00:07:38+0200",64,"notification-system/nosy-admin",0,0,0,0,0,0,89,1991,2278,2278,0,0,0,0,0,0,0,136,365,133.5,365,1699.5,479288,77,260,38,0.523076923076923,0.59375
64,"2019-06-19T21:14:19+0200","2019-07-12T02:15:04+0200",22,"newtonjose/cs-2019-01",0,0,6,40,0.1,0,100,1127,1127,1127,0,0,0.00532386867790594,0,0,0,0,86.5,220,85.5,304,2262,8030,11,74,16,0.864864864864865,0.727272727272727
112,"2018-03-11T09:56:34+0100","2019-07-08T19:04:22+0200",484,"dwenzel/t3events",0,0,277.5,3697.5,0.8,0,77.1,15000,15181,15181,0,0,0.0187282332485002,0,0,0,0,160,485,233.5,908,1641,383080,32,192,50,0.583333333333333,0.103305785123967
224,"2019-02-01T14:54:09+0100","2019-07-17T10:03:18+0200",165,"exasol/virtual-schema-common-java",0,0,0,0,0,0,88,4741,4748,4748,0,0,0,0,0,0,0,156,451,155,451,1579,249570,36,362,57,0.61878453038674,0.345454545454545
64,"2019-05-01T00:21:29+0200","2019-07-07T19:39:17+0200",67,"eskaton/asn4j",0.5,5.5,248,2974,0.55,1.1,50.9,18206.5,19221,19221,2.81928390188892e-05,0.000310121229207781,0.0136320738811173,0,0,0,0,142,272,142,272,2167.5,95462,9,120,38,0.533333333333333,0.567164179104478
296,"2017-09-16T12:51:46+0200","2019-07-29T22:00:53+0200",681,"VocabHunter/vocabhunter",0,0,19,2337,1,0,89.6,7748,8371,8371,0,0,0.00245161290322581,0,0,0,0,467,1247,464,1247,2259,699862,7,369,152,0.802168021680217,0.223201174743025
32,"2019-06-26T01:01:25+0200","2019-07-14T12:15:53+0200",18,"lheydel/manguru-back",0,0,0,0,0,0,38.85,106,327,327,0,0,0,0,0,0,0,165,368,165,368,952,2098,6,35,8,0.914285714285714,0.444444444444444
176,"2018-06-25T05:45:25+0200","2019-07-22T04:31:04+0200",391,"KengoTODA/guava-helper-for-java-8",0,0,26,670,2.3,0,80.4,955,814,814,0,0,0.0270833333333333,0,0,0,0,133,379,132,379,22.5,36,3,213,55,0.826291079812207,0.140664961636829
200,"2017-11-23T16:20:56+0100","2019-07-11T17:40:14+0200",595,"CJSCommonPlatform/json-schema-catalog",0,0,6,60,0.1,0.7,88,1593,1694,1694,0,0,0.00376647834274953,0,0,0,0,141,563,140.5,563,333.5,71910,23,372,52,0.537634408602151,0.0873949579831933
152,"2017-08-14T12:41:45+0200","2019-07-11T17:17:00+0200",696,"CJSCommonPlatform/generator-maven-plugin",0,0,3,35,0.1,0,79.1,1289,1394,1394,0,0,0.00243506493506494,0,0,0,0,150,452,150,452,595,1101,5,211,37,0.720379146919431,0.0531609195402299
336,"2018-01-15T17:01:20+0100","2019-07-11T16:25:51+0200",541,"CJSCommonPlatform/framework-api",0,0,29,287,0.5,0,57.8,2018.5,2428,2428,0,0,0.0145379023883697,0,0,0,0,142,801,141,801,711,86262,23,539,96,0.623376623376623,0.177449168207024
96,"2019-03-19T00:15:07+0100","2019-07-09T06:56:16+0200",112,"pavru/lomout",0,0,2,10,0,0,83.5,8619.5,10847,10847,0,0,0.000174808705913794,0,0,0,0,436.5,958,435,1309,4570.5,221296,48,159,23,0.60377358490566,0.205357142857143
528,"2018-01-18T14:34:41+0100","2019-07-17T08:53:07+0200",544,"sflpro/notifier",8,5,86,5044,1.2,4.6,0,13800,18539,18539,0.000579710144927536,0.00036231884057971,0.00623188405797101,0,0,0,0,311,896,304,896,2051,529218,131,732,66,0.721311475409836,0.121323529411765
96,"2019-03-28T15:19:15+0100","2019-07-30T12:36:10+0200",123,"kreait/firebase-php",0,0,73.5,809,0.5,1.7,95.2,5187.5,5571,5571,0,0,0.0141486330078444,0,0,0,0,212,505,476.5,1035,25502.5,272248,12,98,27,0.979591836734694,0.219512195121951
112,"2019-04-06T13:38:07+0200","2019-07-13T17:37:47+0200",98,"mivek/metarParser",0,0,6,50,0.1,0,98.3,3069,3100,3100,0,0,0.00195503421309873,0,0,0,0,175,545,214.5,545,1193,30226,7,186,32,0.602150537634409,0.326530612244898
144,"2019-02-28T14:50:22+0100","2019-07-24T15:05:24+0200",145,"dernasherbrezon/r2cloud",21,0,61,947.5,0.4,1.7,60.8,7415,7396,7396,0.00281465367315846,0,0.00821604331012205,0,0,0,0,291,1210,291,1210,1752.5,151198,35,182,76,0.791208791208791,0.524137931034483
272,"2018-01-26T22:04:27+0100","2019-06-24T00:59:15+0200",513,"miw-upm/betca-tpv-spring",4,0,27.5,297,0.2,1.5,78.35,3760,8945,8945,0.00121253416506088,0,0.00661190218752482,0,0,0,0,216,634,216,634,3159,140152,29,387,75,0.702842377260982,0.146198830409357
48,"2019-04-22T21:06:07+0200","2019-06-24T00:09:06+0200",62,"revaturelabs/caliber-2-category-service",0,0,2.5,16,0.1,0,62.3,453,466,466,0,0,0.00561096005859277,0,0,0,0,115.5,240,115.5,240,986.5,14783,25,96,21,0.5,0.338709677419355
80,"2019-03-04T10:19:16+0100","2019-07-05T15:35:28+0200",123,"iomega/paired-data-form",1,0,9,11,0,22.7,54.7,3520.5,3603,3603,0.000277546489036914,0,0.00249791840133222,0,0,0,0,177,757,177,757,30646,163032,16,84,25,0.952380952380952,0.203252032520325
128,"2018-08-03T16:38:33+0200","2019-07-29T23:48:59+0200",360,"KengoTODA/javadocky",0,0,6,40,0.2,0,49,745,745,745,0,0,0.00805369127516779,0,0,0,0,180,565,179,565,490133,1364524,13,228,64,0.56140350877193,0.177777777777778
136,"2018-12-25T11:13:21+0100","2019-07-20T17:26:00+0200",207,"metamug/mason",3,0,143,1688,1.9,0.7,36.4,2949,2949,2949,0.00101763907734057,0,0.0488466757123474,0,0,0,0,144.5,409,144,409,20363,170219,23,270,70,0.503703703703704,0.338164251207729
112,"2017-09-15T15:37:28+0200","2019-06-20T11:41:46+0200",642,"CJSCommonPlatform/artemis-manager",0,1,15.5,260,0.7,4.6,66.1,1207.5,1867,1867,0,0.000828181348052899,0.0133071077618213,0,0,0,0,213,937,213,937,319,2501838,33,176,28,0.636363636363636,0.043613707165109
104,"2019-02-24T02:12:12+0100","2019-07-19T11:19:36+0200",145,"wz2cool/mybatis-dynamic-query",0,0,0,0,0,0.6,96.9,1896,2135,2135,0,0,0,0,0,0,0,112,220,112,220,10532,125102,25,104,27,1,0.186206896551724
112,"2018-09-25T16:22:19+0200","2019-07-16T11:14:27+0200",293,"hmcts/feature-toggle-api",0,0,2,10,0.1,0,90.6,593,593,593,0,0,0.00337268128161889,0,0,0,0,244,570,241,570,1467.5,2085,2,166,46,0.674698795180723,0.156996587030717
48,"2019-05-23T03:41:41+0200","2019-07-24T06:16:03+0200",62,"tsantos84/serializer",0,0,12,203,0.2,0,85.1,3175,3175,3175,0,0,0.00377952755905512,0,0,0,0,368,595,524,772,759,605084,7,54,15,0.888888888888889,0.241935483870968
40,"2019-06-16T16:38:03+0200","2019-06-19T02:05:07+0200",2,"c2v4/greenery",0,0,15,149,0,2.3,81.8,17849,17779,17779,0,0,0.000843691996175263,0,0,0,0,462.5,644,457,644,4867,9730,6,42,3,0.952380952380952,1.5
64,"2019-05-30T10:10:27+0200","2019-07-27T03:19:21+0200",57,"imageworks/OpenColorIO",77,0,9274.5,49068,2,8.8,80.6,82146,84033,84033,0.000937355440313588,0,0.113022836607378,0,0,0,0,2837,7858,5053,5506,4235,80612,7,86,20,0.744186046511628,0.350877192982456
72,"2019-06-10T14:04:28+0200","2019-07-22T20:07:58+0200",42,"Diplomatiq/crypto-random",0,0,0,0,0,0,100,291,291,291,0,0,0,0,0,0,0,91,252,164,342,0,0,1,75,16,0.96,0.380952380952381
